rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,precip_ratio,ponding_hazard,water_contrast,drainage_stress,flood_target
0.0,26.72,5.0,0.01,5.49,0.14,0.096,3.5,5,8,3,26.718,863.636,0.045,0.0,1
25.49,101.98,35.0,2.8,0.16,0.333,0.731,4.0,5,9,5,3.849,22.376,-0.398,0.637,0
0.0,16.11,13.0,0.42,0.16,0.086,0.238,6.0,4,3,5,16.112,167.847,-0.152,0.0,1
0.0,49.02,7.0,0.52,0.16,0.216,0.357,3.0,6,5,5,49.018,150.318,-0.14,0.0,1
22.14,22.14,23.0,0.26,4.24,0.385,0.805,5.5,4,4,10,0.957,214.27,-0.42,0.403,0
38.05,38.05,9.0,0.12,3.74,0.165,0.319,5.0,3,7,4,0.974,420.815,-0.155,0.761,1
15.84,47.24,9.0,0.16,7.68,0.107,0.194,7.0,3,2,3,2.805,344.516,-0.088,0.226,0
0.0,0.0,87.0,1.1,1.76,0.112,0.475,3.5,7,5,5,0.0,10.878,-0.363,0.0,1
0.0,0.0,4.0,0.16,9.4,0.045,0.619,9.5,3,7,4,0.0,363.447,-0.574,0.0,1
0.0,54.67,1750.0,6.78,1.37,0.08,0.12,4.5,5,8,7,54.667,0.0,-0.04,0.0,0
0.0,37.38,4.0,0.37,3.86,0.205,0.52,7.5,7,8,4,37.385,205.559,-0.315,0.0,1
9.8,58.79,8.0,0.12,6.49,0.316,0.75,4.0,7,2,6,5.444,426.052,-0.434,0.245,0
28.75,28.75,5.0,0.01,9.79,-0.153,-0.024,4.5,6,7,10,0.966,863.636,-0.129,0.639,1
0.0,42.65,418.0,3.47,4.46,0.187,0.831,3.0,3,7,4,42.652,0.0,-0.644,0.0,0
0.0,0.0,106.0,1.17,2.19,0.189,0.471,3.0,7,4,4,0.0,0.0,-0.282,0.0,0
0.0,0.0,13.0,0.23,3.92,0.209,0.839,3.5,3,2,7,0.0,261.651,-0.63,0.0,0
0.0,0.0,22.0,0.33,1.09,0.248,0.734,6.0,1,3,4,0.0,182.086,-0.486,0.0,0
0.0,2.95,13.0,1.48,2.87,0.336,0.677,6.5,4,2,1,2.946,55.12,-0.341,0.0,0
0.0,72.73,14.0,0.48,1.03,0.229,0.706,3.5,5,1,10,72.727,148.645,-0.477,0.0,0
23.78,47.55,37.0,0.94,3.96,0.361,0.517,3.5,6,3,6,1.919,60.837,-0.156,0.679,0
0.0,0.0,3.0,0.12,1.66,0.099,0.619,2.0,5,7,3,0.0,448.426,-0.52,0.0,1
0.0,10.51,2.0,1.17,3.61,0.153,0.559,3.5,5,5,8,10.514,77.469,-0.405,0.0,1
38.99,38.99,11.0,0.82,3.02,0.349,0.753,7.5,4,7,2,0.975,96.65,-0.404,0.52,0
4.44,31.05,117.0,2.55,1.5,0.149,0.519,3.0,5,6,4,5.712,0.0,-0.37,0.148,0
0.0,77.19,20.0,2.14,1.93,0.148,0.704,4.5,6,7,5,77.19,35.694,-0.556,0.0,0
22.43,89.71,8.0,0.52,1.33,0.209,0.373,5.0,3,2,7,3.829,148.517,-0.164,0.449,1
40.97,131.67,3.0,0.16,2.75,-0.044,0.104,6.5,7,4,5,3.137,367.065,-0.147,0.63,0
12.62,88.32,70.0,1.2,1.27,0.316,0.643,4.5,1,6,6,6.486,23.157,-0.327,0.28,0
7.76,85.35,2.0,0.48,0.02,0.294,0.492,6.0,6,2,5,9.744,169.525,-0.198,0.129,1
21.8,76.3,6.0,0.26,1.44,-0.004,0.114,5.5,3,5,4,3.346,261.344,-0.119,0.396,1
0.0,29.35,0.0,0.01,1.04,-0.097,0.619,2.0,6,8,8,29.345,909.091,-0.716,0.0,0
68.51,155.3,7.0,0.66,4.46,0.143,0.513,6.0,5,3,2,2.234,122.832,-0.371,1.142,0
23.89,71.67,8.0,0.12,1.44,0.097,0.467,5.5,5,5,8,2.879,425.694,-0.369,0.434,1
9.33,83.98,8.0,0.01,4.73,0.019,0.027,5.0,1,1,5,8.129,836.364,-0.008,0.187,0
0.0,46.96,84.0,0.59,2.81,0.408,0.831,4.0,1,3,3,46.963,23.132,-0.424,0.0,0
26.69,66.73,203.0,6.93,0.31,0.249,0.188,6.0,4,4,1,2.41,0.0,0.061,0.445,0
0.0,52.31,2.0,0.73,3.84,0.238,0.519,5.5,8,3,6,52.315,117.607,-0.281,0.0,1
26.26,43.77,5.0,0.42,6.27,0.07,0.619,5.5,1,5,6,1.606,183.296,-0.549,0.477,1
0.0,52.11,5.0,0.16,8.14,0.112,0.125,6.0,2,6,6,52.106,359.722,-0.013,0.0,1
7.06,35.29,1290.0,0.62,3.1,0.274,0.316,2.0,6,5,3,4.38,0.0,-0.042,0.353,0
0.0,51.65,9.0,0.42,12.97,0.111,0.449,7.0,8,7,6,51.655,175.411,-0.338,0.0,1
40.01,80.01,12.0,0.42,0.15,0.266,0.431,4.5,5,3,5,1.951,169.509,-0.165,0.889,0
12.26,44.84,6.0,0.23,1.3,0.254,0.484,3.5,5,4,3,3.381,282.816,-0.23,0.35,0
0.0,0.0,37.0,0.37,0.5,0.38,0.517,6.5,5,4,5,0.0,134.59,-0.138,0.0,0
0.0,15.91,1.0,0.37,1.2,0.128,0.619,6.0,3,5,3,15.906,211.612,-0.491,0.0,1
10.42,62.53,13.0,0.37,0.28,0.259,0.499,5.5,4,8,7,5.475,186.099,-0.241,0.189,1
0.0,48.73,7.0,0.58,1.15,0.068,0.221,2.0,6,3,3,48.728,136.631,-0.154,0.0,1
7.92,63.33,7.0,0.66,0.72,0.318,0.09,7.0,5,6,3,7.103,122.908,0.228,0.113,1
0.0,54.7,7.0,0.01,2.55,0.133,0.619,6.0,4,2,3,54.695,845.455,-0.486,0.0,1
0.0,0.0,11.0,0.26,1.64,0.248,0.702,5.0,7,5,3,0.0,247.352,-0.454,0.0,0
7.81,78.08,7.0,0.49,1.78,0.227,0.58,4.0,4,8,6,8.865,156.947,-0.352,0.195,1
0.0,68.3,0.0,0.12,1.04,0.187,0.855,4.5,6,4,7,68.299,461.559,-0.668,0.0,0
49.1,61.8,6.0,0.84,5.34,0.154,0.24,5.5,7,5,2,1.233,99.561,-0.086,0.893,1
40.15,40.15,1.0,0.48,2.99,0.032,0.322,4.5,8,6,6,0.976,170.878,-0.291,0.892,1
24.73,49.46,0.0,0.16,1.78,0.046,0.011,5.5,3,6,4,1.922,378.419,0.036,0.45,1
0.0,0.0,5.0,0.16,6.7,0.347,0.532,6.0,7,3,8,0.0,359.447,-0.185,0.0,0
0.0,0.0,4.0,0.42,0.38,0.099,0.619,7.0,3,4,7,0.0,184.952,-0.52,0.0,1
17.79,71.14,2.0,0.12,2.0,0.114,0.292,5.0,8,8,6,3.787,453.331,-0.178,0.356,1
7.5,59.97,8.0,0.35,3.29,0.372,0.35,2.0,6,6,6,7.058,205.047,0.023,0.375,1
0.0,13.57,18.0,0.42,3.21,0.376,0.597,3.5,5,2,3,13.574,158.099,-0.221,0.0,0
11.43,28.58,1187.0,7.6,3.72,0.342,0.401,7.0,6,4,6,2.299,0.0,-0.059,0.163,0
7.83,78.28,6.0,0.23,2.49,0.221,0.566,7.5,1,4,4,8.867,282.749,-0.346,0.104,1
25.49,101.98,11.0,0.01,11.36,0.326,0.643,4.0,5,3,5,3.849,809.091,-0.317,0.637,0
8.51,59.57,79.0,1.93,0.18,0.44,0.759,4.5,5,3,5,6.264,10.335,-0.319,0.189,0
40.99,40.99,6.0,0.23,5.06,0.066,0.205,6.5,1,5,2,0.976,283.242,-0.139,0.631,0
21.29,21.29,23.0,0.33,9.4,0.323,0.764,4.0,4,2,7,0.955,179.753,-0.441,0.532,0
0.0,0.0,52.0,0.84,3.05,0.372,0.433,4.5,7,4,3,0.0,50.833,-0.061,0.0,0
0.0,58.0,85.0,2.05,0.31,0.254,0.821,6.0,7,4,7,57.996,6.964,-0.567,0.0,0
19.46,77.84,6.0,0.16,1.65,0.134,0.484,7.5,5,3,2,3.804,355.874,-0.35,0.259,1
12.73,89.14,86.0,2.79,0.61,0.325,0.648,4.0,5,7,6,6.49,4.838,-0.324,0.318,0
32.58,65.17,47.0,0.82,0.04,0.26,0.672,7.5,5,4,6,1.94,57.523,-0.412,0.434,0
0.0,38.75,10.0,0.62,0.16,0.109,0.182,7.5,4,3,4,38.747,124.236,-0.072,0.0,1
42.75,42.75,227.0,4.59,0.87,0.238,0.381,5.0,4,3,5,0.977,0.0,-0.143,0.855,0
23.07,92.28,15.0,0.23,6.13,0.182,0.244,5.0,4,6,7,3.834,255.737,-0.062,0.461,1
23.66,94.63,17.0,0.12,2.69,0.345,0.734,5.0,9,4,8,3.838,384.373,-0.39,0.473,0
0.0,0.0,3.0,0.42,2.4,0.11,0.619,3.0,5,6,5,0.0,186.934,-0.509,0.0,1
7.03,39.77,20.0,0.84,0.26,0.35,0.689,6.0,3,10,3,4.951,84.734,-0.339,0.117,0
0.0,13.07,0.0,0.49,2.59,0.011,0.619,4.0,6,7,3,13.071,168.779,-0.609,0.0,1
30.63,30.63,12.0,0.37,1.1,0.07,0.154,5.5,2,6,2,0.968,188.554,-0.084,0.557,1
15.95,79.74,2.0,0.16,9.4,0.125,0.127,4.5,5,5,2,4.705,370.847,-0.002,0.354,1
0.0,22.46,11.0,0.71,1.74,0.261,0.672,3.5,4,3,5,22.456,110.529,-0.411,0.0,0
0.0,0.0,4.0,0.26,5.78,0.149,0.619,3.0,6,4,5,0.0,267.098,-0.47,0.0,1
0.0,23.3,5.0,0.26,2.08,0.3,0.329,5.0,3,6,7,23.298,264.402,-0.03,0.0,1
17.2,68.8,0.0,0.26,2.19,0.102,0.292,6.5,6,5,4,3.78,278.205,-0.19,0.265,1
0.0,17.86,11.0,0.91,3.93,0.147,0.346,9.0,8,7,4,17.859,88.423,-0.2,0.0,0
11.07,88.57,18.0,0.42,5.91,0.191,0.356,2.5,5,7,3,7.337,158.206,-0.164,0.443,1
6.67,40.33,5.0,0.12,5.87,0.061,0.185,5.0,6,6,4,5.261,439.335,-0.124,0.133,1
0.0,0.0,0.0,0.23,5.72,0.221,0.357,3.5,4,4,6,0.0,300.551,-0.136,0.0,1
6.33,28.02,36.0,0.12,10.08,0.093,0.436,4.0,9,6,4,3.822,296.024,-0.343,0.158,1
28.49,56.99,6.0,0.46,2.35,0.115,0.26,3.5,6,2,5,1.932,166.745,-0.145,0.814,1
0.0,124.46,27.0,0.23,3.17,0.251,0.776,3.5,4,7,6,124.461,219.965,-0.525,0.0,0
7.05,43.71,5.0,0.23,1.76,0.16,0.198,4.0,8,8,3,5.429,286.255,-0.038,0.176,1
8.53,76.76,4.0,0.37,5.74,0.158,0.619,6.0,5,7,8,8.056,205.699,-0.461,0.142,1
0.0,0.0,119.0,2.99,3.23,0.443,0.822,4.5,5,6,2,0.0,0.0,-0.379,0.0,0
0.0,0.0,6.0,0.46,0.05,0.081,0.619,5.0,9,10,4,0.0,166.745,-0.538,0.0,1
9.89,29.68,333.0,0.71,2.16,0.265,0.692,6.0,5,7,4,2.725,0.0,-0.427,0.165,0
9.18,64.26,0.0,0.01,8.24,0.019,0.079,4.0,6,3,10,6.312,909.091,-0.059,0.23,1
27.53,82.59,7.0,0.12,1.44,0.06,0.286,3.0,6,4,6,2.895,430.683,-0.225,0.918,1
0.0,20.97,5.0,0.01,2.14,0.049,0.619,9.5,4,6,5,20.969,863.636,-0.57,0.0,1
30.71,57.5,21.0,0.16,2.19,0.396,0.854,4.0,9,3,6,1.813,299.136,-0.458,0.768,0
16.36,16.36,11.0,0.37,5.08,0.13,0.106,4.0,4,2,3,0.942,190.405,0.023,0.409,1
34.56,34.56,5.0,0.23,1.15,0.054,0.619,5.0,5,5,5,0.972,285.733,-0.565,0.691,1
0.0,44.74,4.0,0.42,3.28,0.052,0.059,7.0,7,1,5,44.741,185.201,-0.007,0.0,1
34.32,55.45,11.0,0.37,0.51,0.274,0.618,5.0,7,4,8,1.57,190.445,-0.344,0.686,0
0.0,51.56,68.0,0.12,7.29,0.265,0.863,2.5,10,4,5,51.557,148.021,-0.597,0.0,0
11.26,78.81,54.0,2.3,2.59,0.331,0.62,4.5,4,6,5,6.429,19.149,-0.288,0.25,0
0.0,0.0,12.0,0.49,0.91,0.427,0.624,9.0,3,4,3,0.0,148.427,-0.197,0.0,0
23.31,104.89,22.0,0.26,1.55,0.394,0.78,7.5,9,4,4,4.315,216.994,-0.386,0.311,0
0.0,17.05,12.0,0.01,2.14,0.099,0.177,4.5,3,6,6,17.048,800.0,-0.077,0.0,1
9.63,38.53,31.0,1.98,0.9,0.092,0.619,4.0,7,3,8,3.624,33.163,-0.527,0.241,0
20.66,41.32,0.0,0.48,5.35,0.162,0.243,4.0,10,8,8,1.908,172.979,-0.081,0.517,1
9.66,86.97,12.0,0.37,0.51,0.304,0.232,6.0,6,3,1,8.156,188.26,0.072,0.161,1
20.71,93.18,11.0,0.62,3.79,0.283,0.482,5.0,4,8,4,4.293,122.769,-0.199,0.414,1
27.84,27.84,11.0,0.16,1.5,0.205,0.36,5.5,10,5,8,0.965,336.937,-0.155,0.506,0
11.22,89.8,15.0,0.16,1.78,0.167,0.272,3.0,9,7,7,7.346,321.797,-0.105,0.374,1
0.0,0.0,171.0,1.64,2.18,0.42,0.721,3.0,6,3,4,0.0,0.0,-0.301,0.0,0
24.73,49.46,1.0,0.16,1.31,-0.029,0.619,4.5,4,6,3,1.922,374.633,-0.648,0.55,1
9.94,69.61,11.0,0.42,0.71,0.26,0.5,5.5,6,4,7,6.36,171.698,-0.24,0.181,1
0.0,94.43,2.0,0.48,0.24,0.065,0.328,4.0,6,8,1,94.428,169.519,-0.262,0.0,1
0.0,38.87,24.0,0.16,2.27,0.267,0.522,4.0,8,5,2,38.868,287.772,-0.255,0.0,0
21.85,87.38,8.0,0.16,1.9,0.283,0.359,6.0,4,6,4,3.825,348.248,-0.076,0.364,1
0.0,33.08,20.0,0.46,1.37,0.478,0.859,4.0,2,5,5,33.08,141.782,-0.381,0.0,0
0.0,10.53,369.0,0.01,2.37,0.336,0.758,7.5,7,3,4,10.533,0.0,-0.422,0.0,0
46.32,46.32,1.0,0.01,2.37,0.155,-0.096,5.5,5,6,8,0.979,900.0,0.251,0.842,1
9.25,74.02,3.0,0.26,1.04,0.139,0.26,6.5,2,4,4,7.22,269.611,-0.121,0.142,1
48.13,60.34,22.0,0.48,2.07,0.186,0.374,4.5,8,8,4,1.228,134.929,-0.188,1.07,1
12.26,44.84,5.0,0.23,1.44,0.277,0.482,4.0,5,4,2,3.381,286.255,-0.206,0.307,1
0.0,0.0,201.0,3.38,2.12,0.39,0.788,7.0,7,2,5,0.0,0.0,-0.398,0.0,0
7.13,48.8,58.0,0.48,0.02,0.382,0.795,5.5,5,5,4,5.999,72.654,-0.414,0.13,0
7.66,38.86,5.0,0.42,2.1,0.011,0.619,4.5,4,4,6,4.489,183.162,-0.608,0.17,1
6.54,45.79,6.0,0.49,0.4,0.082,0.288,7.5,7,4,4,6.072,158.585,-0.206,0.087,0
0.0,33.24,16.0,0.62,4.16,0.252,0.667,8.0,5,5,6,33.241,115.924,-0.415,0.0,0
7.94,71.43,21.0,0.12,1.84,0.185,0.27,4.0,7,8,3,7.993,365.209,-0.085,0.198,1
21.96,87.82,6.0,0.52,2.44,0.194,0.532,1.5,9,5,6,3.826,151.874,-0.338,1.464,0
8.04,80.38,3.0,0.26,0.63,0.24,0.512,5.5,6,3,8,8.894,269.575,-0.272,0.146,1
7.92,63.33,9.0,0.16,2.75,0.328,0.09,4.0,7,8,5,7.103,344.47,0.238,0.198,1
0.0,47.16,24.0,1.35,2.09,0.361,0.651,4.5,4,7,5,47.164,52.279,-0.29,0.0,0
0.0,0.0,3.0,0.59,4.77,0.123,0.312,6.0,7,8,4,0.0,140.332,-0.19,0.0,1
11.26,78.82,38.0,1.32,1.89,0.323,0.598,7.0,4,6,6,6.429,43.551,-0.274,0.161,0
0.0,63.23,8.0,0.49,0.21,0.1,0.298,3.0,3,5,4,63.226,155.273,-0.197,0.0,1
22.87,60.98,126.0,0.78,5.27,0.269,0.608,5.0,3,6,4,2.555,0.0,-0.339,0.457,0
0.0,65.22,9.0,0.37,0.98,0.255,0.511,6.5,8,7,3,65.22,194.876,-0.256,0.0,1
0.0,29.41,13.0,0.42,2.7,0.311,0.683,5.0,7,6,4,29.405,167.902,-0.373,0.0,0
0.0,0.0,2.0,0.33,4.51,0.229,0.682,4.0,3,2,5,0.0,228.785,-0.453,0.0,1
0.0,19.61,19.0,0.16,1.65,0.421,0.724,5.0,4,2,7,19.606,306.759,-0.303,0.0,0
7.69,49.18,5.0,0.01,2.14,0.056,-0.017,5.5,7,6,8,5.661,863.636,0.074,0.14,1
9.38,56.26,42.0,0.68,2.14,0.258,0.445,4.0,6,5,9,5.422,74.607,-0.188,0.234,0
7.92,63.33,10.0,0.52,0.5,0.333,0.254,6.5,4,3,3,7.103,145.457,0.079,0.122,1
0.0,37.32,7.0,0.12,2.0,0.05,0.098,4.0,6,6,7,37.319,430.063,-0.048,0.0,1
0.0,82.82,13.0,0.12,1.84,0.186,0.414,4.0,3,7,3,82.824,401.826,-0.228,0.0,0
11.35,39.72,61.0,0.37,1.79,0.223,0.707,4.0,5,5,5,3.217,83.551,-0.485,0.284,0
36.61,50.32,4.0,0.48,0.58,0.129,0.098,3.5,8,7,4,1.338,166.07,0.031,1.046,1
0.0,0.0,3.0,1.07,4.53,0.396,0.808,5.0,4,3,4,0.0,82.981,-0.412,0.0,0
0.0,30.19,15.0,1.43,2.29,0.184,0.536,3.5,2,7,4,30.191,55.413,-0.352,0.0,0
25.26,75.78,6.0,0.7,0.66,0.225,0.184,3.5,3,4,8,2.886,118.152,0.041,0.722,1
0.0,37.02,15.0,0.16,1.09,0.207,0.268,5.0,5,6,4,37.024,321.798,-0.061,0.0,0
0.0,0.0,11.0,0.26,5.06,0.277,0.523,4.5,3,6,5,0.0,247.589,-0.246,0.0,0
7.18,78.96,6.0,0.26,5.78,0.121,0.387,3.0,7,3,3,9.655,261.554,-0.266,0.239,1
7.94,71.43,27.0,1.14,0.16,0.228,0.506,5.0,2,2,1,7.993,58.643,-0.278,0.159,1
0.0,0.0,54.0,0.78,2.34,0.286,0.808,5.0,10,6,3,0.0,52.302,-0.522,0.0,0
8.94,89.42,7.0,1.09,4.38,0.289,0.635,5.0,6,2,3,8.994,77.86,-0.346,0.179,1
0.0,51.11,5.0,0.35,0.34,0.001,0.144,3.5,4,2,5,51.107,211.751,-0.143,0.0,0
0.0,0.0,319.0,0.01,4.22,-0.037,0.053,3.5,4,5,8,0.0,0.0,-0.09,0.0,0
0.0,0.0,7.0,0.16,3.53,0.212,0.61,3.0,6,10,9,0.0,352.037,-0.398,0.0,0
34.09,45.55,9.0,0.12,1.84,0.022,-0.052,3.0,7,5,6,1.298,421.421,0.074,1.136,1
32.54,45.11,8.0,0.91,0.39,0.018,-0.013,5.5,4,3,5,1.345,91.383,0.031,0.592,1
51.11,51.11,0.0,0.01,3.16,0.062,0.323,6.0,5,5,7,0.981,909.091,-0.261,0.852,1
24.08,72.25,5.0,0.42,0.16,0.153,0.619,5.0,4,6,6,2.88,183.286,-0.466,0.482,1
0.0,0.0,2.0,0.26,0.85,0.136,0.184,6.0,4,6,5,0.0,272.182,-0.048,0.0,1
12.63,63.15,25.0,0.46,0.46,0.499,0.845,5.0,3,5,5,4.633,132.919,-0.346,0.253,0
23.73,71.19,4.0,0.49,8.14,0.25,0.284,2.5,2,4,8,2.879,162.129,-0.034,0.949,1
0.0,47.35,5.0,0.46,11.23,0.333,0.817,3.0,9,2,3,47.346,168.358,-0.483,0.0,0
6.16,61.62,25.0,0.37,2.33,0.21,0.61,5.0,8,5,7,8.604,160.692,-0.399,0.123,0
0.0,0.0,7.0,0.33,2.1,0.091,0.419,3.5,9,7,5,0.0,217.113,-0.328,0.0,1
11.05,66.3,13.0,0.59,0.03,0.314,0.496,5.0,4,3,4,5.502,125.752,-0.182,0.221,0
25.01,100.03,8.0,0.26,1.81,0.248,0.818,9.0,4,5,5,3.846,255.937,-0.571,0.278,0
16.72,66.88,319.0,0.01,11.39,-0.129,0.126,7.0,3,1,7,3.774,0.0,-0.255,0.239,0
0.0,45.49,10.0,0.71,1.02,0.266,0.554,6.0,6,4,4,45.488,111.772,-0.288,0.0,0
12.26,44.84,4.0,0.12,4.14,0.275,0.482,4.5,6,6,1,3.381,444.052,-0.207,0.272,0
12.98,29.01,14.0,0.48,1.57,0.166,0.457,6.0,8,6,4,2.075,148.252,-0.291,0.216,0
7.45,74.51,0.0,0.33,2.77,0.068,0.145,5.5,5,3,9,8.817,233.476,-0.077,0.135,1
0.0,45.06,18.0,0.12,1.84,0.323,0.764,8.0,6,4,4,45.056,379.517,-0.441,0.0,0
13.17,47.48,37.0,2.47,2.94,0.515,0.844,3.0,4,3,4,3.35,24.559,-0.328,0.439,0
0.0,10.66,319.0,0.01,4.93,0.008,0.102,3.5,4,3,4,10.659,0.0,-0.094,0.0,0
13.91,55.62,25.0,0.59,5.19,0.14,0.458,8.0,4,2,4,3.732,108.508,-0.317,0.174,0
0.0,38.87,21.0,0.52,1.12,0.37,0.538,4.0,4,10,7,38.868,127.699,-0.168,0.0,0
7.92,63.33,5.0,0.12,3.98,0.271,0.166,2.0,7,5,7,7.103,439.945,0.105,0.396,1
0.0,52.31,8.0,0.12,3.55,0.311,0.782,5.0,5,3,6,52.315,425.816,-0.471,0.0,0
8.95,53.68,12.0,0.66,4.82,0.321,0.612,3.5,3,7,6,5.397,116.292,-0.29,0.256,1
23.96,95.86,18.0,0.49,4.24,0.358,0.628,6.5,4,4,7,3.84,138.486,-0.271,0.369,0
11.9,59.5,24.0,0.58,9.08,0.214,0.679,6.0,4,4,6,4.612,111.82,-0.464,0.198,0
9.66,86.97,14.0,0.48,0.71,0.276,0.191,2.5,7,4,9,8.156,148.769,0.085,0.387,1
0.0,0.0,6.0,0.12,5.19,0.313,0.693,5.0,6,9,6,0.0,435.314,-0.38,0.0,0
0.0,48.07,0.0,0.84,1.04,0.134,0.258,6.0,4,2,5,48.067,106.762,-0.124,0.0,0
10.9,76.29,14.0,0.01,3.94,0.172,0.107,4.0,6,7,6,6.412,781.818,0.065,0.272,1
19.43,77.7,11.0,0.23,0.74,0.132,0.234,7.0,5,4,3,3.804,267.411,-0.102,0.278,0
0.0,104.25,394.0,0.01,4.16,0.002,0.264,6.0,4,7,10,104.246,0.0,-0.262,0.0,0
25.26,75.78,8.0,0.26,0.85,0.203,0.188,5.5,3,6,6,2.886,255.953,0.015,0.459,0
20.83,41.66,7.0,0.52,0.16,0.165,0.619,7.5,5,2,5,1.908,150.058,-0.455,0.278,1
11.49,68.92,8.0,0.01,3.98,0.061,-0.016,3.0,5,5,5,5.519,836.364,0.077,0.383,1
22.17,66.52,1.0,0.23,1.92,-0.039,0.619,3.5,5,9,4,2.871,297.55,-0.658,0.634,1
15.15,53.04,2.0,0.49,1.09,0.119,0.136,5.0,4,5,4,3.283,165.383,-0.017,0.303,1
0.0,35.41,6.0,0.84,1.02,0.118,0.308,5.5,7,7,6,35.411,100.359,-0.19,0.0,1
0.0,12.95,5.0,0.35,2.42,0.024,0.619,7.0,7,6,5,12.945,211.786,-0.595,0.0,1
7.18,78.96,11.0,1.16,0.15,0.205,0.634,6.5,6,4,10,9.655,70.558,-0.43,0.11,0
7.95,79.47,7.0,0.16,1.31,0.13,0.225,7.5,4,1,8,8.882,352.014,-0.095,0.106,1
29.58,88.73,1555.0,7.36,5.65,0.279,0.85,7.5,5,7,9,2.902,0.0,-0.571,0.394,0
0.0,0.0,5.0,0.01,2.14,0.095,0.337,5.0,8,3,5,0.0,863.636,-0.242,0.0,1
16.27,65.09,9.0,0.82,1.32,0.341,0.839,4.5,6,4,6,3.768,98.85,-0.497,0.362,0
0.0,47.52,153.0,4.67,1.87,0.218,0.731,6.5,9,3,4,47.521,0.0,-0.513,0.0,0
0.0,0.0,12.0,1.28,0.74,0.317,0.684,5.5,2,1,5,0.0,63.75,-0.368,0.0,0
37.79,37.79,178.0,0.74,1.38,0.299,0.8,3.5,4,5,1,0.974,0.0,-0.501,1.08,0
10.59,39.94,21.0,0.85,7.64,0.273,0.74,4.0,4,7,6,3.446,83.55,-0.467,0.265,0
0.0,35.2,9.0,0.12,5.87,0.113,0.473,7.0,5,6,3,35.199,421.069,-0.36,0.0,1
16.29,32.57,6.0,0.12,2.0,0.145,0.365,3.0,3,5,5,1.884,435.314,-0.22,0.543,0
27.07,40.6,3.0,0.26,1.44,0.071,0.164,3.5,5,5,4,1.447,269.9,-0.093,0.773,1
8.52,59.61,12.0,0.7,0.45,0.323,0.267,6.0,3,2,7,6.264,110.357,0.056,0.142,1
0.0,42.21,16.0,0.23,0.75,0.279,0.399,3.0,5,5,3,42.211,253.11,-0.12,0.0,1
7.5,52.48,292.0,2.05,1.17,0.295,0.818,5.5,3,5,5,6.176,0.0,-0.524,0.136,0
22.91,80.2,5.0,0.26,1.04,0.033,0.619,4.0,6,6,7,3.354,264.09,-0.586,0.573,1
11.43,91.42,23.0,0.12,6.96,0.246,0.339,5.0,4,4,3,7.356,356.163,-0.093,0.229,1
0.0,0.0,5.0,0.12,1.66,0.187,0.619,6.5,6,10,7,0.0,439.305,-0.432,0.0,0
0.0,0.0,55.0,5.24,0.3,0.411,0.715,3.5,5,5,5,0.0,8.419,-0.305,0.0,0
33.62,33.62,1.0,0.68,9.03,0.089,0.462,5.5,8,4,7,0.971,127.314,-0.373,0.611,1
13.96,41.89,6.0,0.16,1.09,0.344,0.692,5.0,7,8,2,2.8,356.004,-0.347,0.279,0
0.0,21.31,348.0,0.35,5.68,0.289,0.663,3.0,4,5,5,21.308,0.0,-0.373,0.0,0
0.0,8.99,9.0,0.12,3.27,0.299,0.579,6.0,5,5,4,8.991,420.724,-0.28,0.0,0
0.0,0.0,156.0,4.63,3.22,0.153,0.755,3.5,6,9,3,0.0,0.0,-0.602,0.0,0
17.76,79.93,6.0,0.35,5.62,0.158,0.427,10.0,4,2,7,4.26,209.913,-0.269,0.178,1
0.0,51.11,4.0,0.16,4.99,0.209,0.833,7.0,7,7,4,51.107,363.419,-0.624,0.0,0
0.0,68.07,7.0,2.26,2.01,0.184,0.485,6.5,2,4,5,68.068,39.452,-0.301,0.0,0
0.0,14.16,13.0,1.23,4.87,0.385,0.797,4.5,1,7,5,14.161,65.169,-0.412,0.0,0
6.8,47.57,67.0,0.71,9.83,0.293,0.803,6.0,5,2,6,6.102,40.982,-0.51,0.113,0
0.0,95.9,5.0,0.23,4.97,0.186,0.049,4.5,5,7,2,95.903,285.346,0.137,0.0,1
7.18,26.51,7.0,0.26,2.47,0.061,0.314,3.5,10,8,4,3.242,258.571,-0.253,0.205,1
0.0,0.0,154.0,3.21,6.03,0.387,0.847,3.5,2,5,5,0.0,0.0,-0.46,0.0,0
17.79,71.14,3.0,0.48,12.86,0.155,0.545,6.0,8,3,5,3.787,167.551,-0.389,0.296,1
0.0,19.61,11.0,0.33,0.62,0.224,0.461,4.0,4,5,7,19.615,207.808,-0.237,0.0,0
0.0,67.9,1.0,0.12,10.72,0.302,0.661,2.0,4,5,7,67.902,458.213,-0.359,0.0,0
14.62,87.69,32.0,1.04,0.35,0.26,0.637,4.0,2,9,4,5.616,59.788,-0.378,0.365,0
35.25,35.25,139.0,1.46,1.21,0.305,0.792,3.5,6,4,6,0.972,0.0,-0.488,1.007,0
11.05,66.3,12.0,0.23,1.44,0.406,0.768,5.5,7,3,6,5.502,264.938,-0.362,0.201,0
24.73,49.46,2.0,0.01,2.55,0.115,0.079,5.5,5,9,2,1.922,890.909,0.036,0.45,1
