rainfall_24h,rainfall_72h,elevation,slope,twi,ndwi,ndvi,drainage_capacity,urbanization_index,infrastructure_decay,disaster_unpreparedness,flow_accumulation,roughness,flood_probability,flood_target
7.5,59.97,5.0,0.0,3.89,-0.015,-0.08,4.5,2,7,2,1.0,0.06,0.2536,0
24.27,97.07,19.0,0.23,2.19,0.432,0.835,4.5,6,6,2,1.0,0.06,0.4062,0
9.66,86.97,13.0,0.37,6.24,0.264,0.257,4.0,1,4,1,2.0,0.06,0.3124,1
8.95,53.68,46.0,0.49,3.12,0.303,0.599,4.0,7,7,3,1.0,0.06,0.2743,0
6.34,50.73,11.0,1.31,7.51,0.202,0.426,7.5,4,3,2,1.0,0.06,0.282,0
9.67,87.04,26.0,0.74,8.13,0.222,0.679,2.5,4,2,3,3.0,0.06,0.3609,0
16.75,117.23,19.0,0.26,6.53,0.288,0.523,6.5,8,8,5,1.0,0.06,0.5004,0
21.85,87.38,22.0,0.48,11.35,0.302,0.723,5.0,5,6,7,1.0,0.06,0.4489,0
15.64,54.72,196.0,1.81,0.25,0.247,0.79,7.5,5,5,8,1.0,0.06,0.1738,0
51.02,66.12,1.0,0.23,0.75,0.052,0.619,4.5,8,4,9,1.0,0.06,0.4513,1
7.94,71.43,21.0,0.58,1.73,0.177,0.269,3.0,3,4,3,1.0,0.06,0.2609,1
6.86,54.9,20.0,1.66,0.28,0.228,0.501,5.0,7,9,6,1.0,0.1,0.2641,0
0.0,0.0,19.0,0.16,2.34,0.361,0.56,4.5,2,8,3,1.0,0.06,0.1366,0
11.0,99.01,13.0,0.68,0.37,0.287,0.561,6.5,4,9,5,1.0,0.06,0.3288,0
10.55,10.55,17.0,0.59,0.98,0.346,0.599,4.0,7,6,4,1.0,0.06,0.2054,0
11.43,91.42,16.0,0.23,0.97,0.23,0.294,4.5,6,4,1,2.0,0.06,0.3444,1
0.0,76.36,19.0,0.37,4.6,0.307,0.824,6.5,6,6,5,7.0,0.06,0.31,0
10.8,20.53,9.0,0.63,1.7,0.351,0.641,3.5,3,6,2,1.0,0.06,0.191,0
45.91,45.91,16.0,0.26,0.63,0.201,0.306,4.0,8,7,2,7.0,0.06,0.377,1
0.0,0.0,8.0,0.37,0.69,0.296,0.495,5.5,6,1,6,2.0,0.06,0.163,0
0.0,28.72,15.0,0.68,4.48,0.334,0.544,3.5,8,6,8,2.0,0.06,0.2464,0
0.0,0.0,5.0,0.23,2.76,0.25,0.545,6.0,6,4,6,2.0,0.06,0.1759,1
0.0,0.0,88.0,5.2,1.99,0.3,0.648,6.5,1,7,2,1.0,0.06,0.1067,0
0.0,65.15,89.0,0.68,4.17,0.18,0.214,2.5,7,7,4,1.0,0.06,0.255,1
0.0,36.85,83.0,1.76,2.47,0.319,0.308,3.0,4,2,8,3.0,0.06,0.1727,0
10.77,75.37,14.0,0.26,2.68,0.221,0.221,5.5,6,3,4,1.0,0.06,0.3257,1
0.0,41.13,394.0,0.0,4.63,-0.038,0.133,4.5,4,5,3,1.0,0.06,0.143,0
17.03,85.14,10.0,0.33,7.9,0.223,0.581,2.5,6,6,7,1.0,0.06,0.4177,0
37.74,59.22,30.0,0.71,5.48,0.345,0.367,4.5,9,4,5,1.0,0.06,0.4317,0
0.0,0.0,53.0,1.16,0.39,0.193,0.465,5.5,5,4,5,1.0,0.06,0.1366,0
48.41,48.41,117.0,2.24,3.04,0.341,0.726,4.5,6,5,8,3.0,0.06,0.316,0
17.04,68.15,7.0,0.16,1.65,0.047,0.619,4.5,4,6,10,2.0,0.06,0.2991,1
0.0,0.0,10.0,0.26,4.5,0.408,0.722,1.0,5,4,5,1.0,0.013,0.1751,0
32.43,64.85,134.0,1.98,0.21,0.304,0.737,5.0,8,5,6,1.0,0.06,0.294,0
0.0,48.07,35.0,0.33,2.01,0.265,0.333,5.0,6,5,8,1.0,0.06,0.2287,0
19.22,19.22,8.0,0.48,0.94,-0.135,-0.002,3.5,4,5,3,1.0,0.1,0.2124,1
0.0,0.0,161.0,1.83,4.16,0.375,0.741,2.0,4,7,7,1.0,0.06,0.1114,0
24.27,97.07,28.0,0.16,2.48,0.426,0.818,3.0,8,7,7,2.0,0.013,0.4316,0
13.62,95.37,54.0,0.84,0.16,0.28,0.664,7.5,5,1,1,1.0,0.06,0.3135,0
20.87,83.49,8.0,0.23,0.97,0.238,0.486,3.5,3,7,4,1.0,0.06,0.3213,0
0.0,30.02,382.0,0.78,3.8,0.287,0.85,3.0,4,4,8,1.0,0.013,0.127,0
20.79,93.53,6.0,0.35,1.79,0.414,0.798,3.5,3,3,5,1.0,0.06,0.3506,0
9.01,54.04,1101.0,4.04,1.72,0.134,0.091,6.0,6,4,4,4.0,0.1,0.1756,0
0.0,0.0,7.0,0.68,4.05,0.115,0.595,5.5,5,6,1,1.0,0.06,0.1738,1
0.0,13.28,7.0,0.71,0.04,0.37,0.717,6.0,4,5,2,1.0,0.06,0.1604,0
11.85,82.98,26.0,0.49,1.65,0.461,0.864,4.5,5,8,7,1.0,0.06,0.3144,0
14.11,70.54,1.0,0.0,6.68,0.162,0.121,3.5,2,7,5,1.0,0.06,0.3166,1
23.96,95.86,13.0,0.0,8.38,0.315,0.687,7.0,4,3,7,2.0,0.06,0.4379,0
42.88,52.69,37.0,1.28,0.91,0.265,0.637,2.0,4,3,6,1.0,0.06,0.3162,0
9.94,69.61,10.0,0.12,2.0,0.343,0.274,5.0,6,3,5,1.0,0.06,0.3084,1
12.73,89.14,46.0,0.52,1.12,0.285,0.528,8.5,5,6,4,7.0,0.06,0.3118,0
0.0,0.0,8.0,0.16,1.31,0.328,0.667,4.0,2,5,9,1.0,0.06,0.1357,0
25.92,103.68,27.0,0.42,3.03,0.378,0.672,3.5,5,5,8,3.0,0.06,0.4142,0
0.0,47.93,22.0,0.33,0.62,0.367,0.602,4.0,5,4,5,1.0,0.06,0.2152,0
14.89,59.57,27.0,0.48,1.03,0.399,0.871,6.5,10,3,3,1.0,0.06,0.3351,0
5.92,41.43,44.0,0.58,0.74,0.194,0.405,4.5,4,5,6,1.0,0.1,0.1983,0
9.81,25.82,5.0,0.26,1.04,0.114,0.578,3.5,3,5,5,1.0,0.06,0.1944,1
10.53,84.23,11.0,0.26,4.74,0.291,0.18,5.5,6,4,9,1.0,0.06,0.3643,1
23.39,93.57,4.0,0.62,4.71,0.022,0.619,3.5,5,7,5,1.0,0.06,0.4162,1
0.0,7.76,57.0,3.03,1.23,0.345,0.788,4.0,1,2,6,4.0,0.06,0.1203,0
47.31,62.2,27.0,0.42,0.38,0.223,0.51,6.5,6,6,5,1.0,0.06,0.3788,0
0.0,68.07,40.0,3.5,1.17,0.254,0.272,6.0,7,5,6,1.0,0.06,0.2654,0
0.0,38.7,121.0,0.58,0.39,0.243,0.796,3.0,2,4,9,1.0,0.1,0.134,0
0.0,0.0,4.0,0.52,2.63,0.226,0.396,5.0,8,4,8,1.0,0.06,0.1936,0
0.0,62.0,12.0,0.0,2.37,0.378,0.783,4.0,4,1,4,1.0,0.06,0.2455,0
8.57,34.27,319.0,0.0,3.06,-0.067,0.053,5.0,4,2,5,1.0,0.06,0.1414,0
21.36,85.43,10.0,0.12,1.66,0.112,0.112,4.0,4,6,7,1.0,0.06,0.3449,0
14.96,59.85,55.0,5.73,0.67,0.207,0.627,6.0,4,5,8,1.0,0.06,0.2423,0
0.0,53.84,200.0,2.24,4.62,0.211,0.639,6.0,2,6,6,1.0,0.06,0.1427,0
0.0,78.71,2.0,0.33,9.15,0.218,0.632,3.5,6,4,6,4.0,0.06,0.3669,1
10.79,86.3,18.0,0.0,2.37,0.305,0.546,2.0,4,3,5,1.0,0.06,0.3165,0
26.5,106.01,15.0,0.35,5.18,0.428,0.825,4.5,6,5,8,1.0,0.06,0.4663,0
0.0,0.0,4.0,0.23,1.15,0.205,0.59,4.5,6,4,1,6.0,0.1,0.1671,0
0.0,20.22,39.0,0.58,0.23,0.209,0.547,5.5,2,9,6,1.0,0.06,0.142,0
33.56,33.56,21.0,0.42,0.15,0.232,0.391,5.0,5,5,2,1.0,0.06,0.2697,0
14.24,43.42,55.0,1.36,0.16,0.41,0.81,5.0,6,3,7,1.0,0.06,0.2309,0
19.22,19.22,10.0,0.35,0.9,-0.1,-0.058,3.0,6,4,5,1.0,0.06,0.2318,1
8.52,59.61,10.0,0.33,6.28,0.33,0.09,5.5,7,5,5,1.0,0.06,0.3343,1
0.0,0.0,233.0,6.46,0.57,0.481,0.776,6.0,2,2,2,1.0,0.06,0.0789,0
0.0,33.24,29.0,0.42,0.97,0.375,0.528,4.0,7,1,2,1.0,0.06,0.2112,0
0.0,15.91,2.0,0.23,3.48,0.114,0.619,5.0,4,3,7,1.0,0.06,0.1857,1
12.3,61.48,20.0,0.26,0.86,0.391,0.732,5.5,7,6,8,1.0,0.06,0.2957,0
12.15,85.02,10.0,0.42,8.42,0.333,0.056,7.0,2,10,3,1.0,0.06,0.3503,1
15.95,79.74,2.0,0.37,2.61,0.093,0.12,6.0,1,8,8,1.0,0.06,0.2922,1
31.41,94.24,28.0,0.82,8.41,0.337,0.737,4.0,5,6,2,1.0,0.06,0.4628,0
0.0,0.0,9.0,0.12,3.1,0.384,0.674,8.5,10,4,5,1.0,0.06,0.2137,0
12.22,85.57,94.0,1.56,3.0,0.335,0.849,4.5,6,1,8,1.0,0.1,0.3014,0
40.39,40.39,7.0,0.26,0.63,-0.036,0.207,4.5,5,5,2,1.0,0.06,0.3143,1
37.15,37.15,5.0,0.26,4.15,-0.207,-0.028,6.5,4,5,6,1.0,0.06,0.3171,1
12.71,88.98,21.0,0.42,8.63,0.452,0.848,3.0,4,5,7,1.0,0.06,0.3828,0
10.31,61.85,11.0,0.12,2.0,0.335,0.734,5.5,6,9,10,1.0,0.06,0.2935,0
10.14,60.82,16.0,0.23,5.4,0.401,0.835,4.0,4,2,8,1.0,0.013,0.2913,0
16.36,16.36,50.0,1.51,1.31,0.399,0.763,2.0,1,6,6,1.0,0.06,0.1589,0
0.0,0.0,78.0,1.3,0.63,0.441,0.742,6.0,7,9,4,4.0,0.06,0.1432,0
10.42,62.53,13.0,0.48,2.66,0.267,0.649,4.5,4,6,7,1.0,0.06,0.2749,1
36.01,84.03,18.0,0.26,8.73,0.285,0.58,2.5,2,3,6,2.0,0.06,0.4206,0
0.0,42.91,5.0,0.33,2.68,0.334,0.612,3.5,5,6,4,1.0,0.06,0.2302,0
0.0,41.33,10.0,0.42,0.38,0.416,0.824,4.5,6,7,5,1.0,0.06,0.2194,0
0.0,46.9,63.0,1.72,3.14,0.316,0.505,4.0,4,5,4,1.0,0.06,0.2001,0
0.0,25.56,1839.0,0.74,1.56,0.24,0.648,6.0,6,6,4,1.0,0.06,0.1258,0
29.69,42.92,104.0,4.41,7.07,0.325,0.846,4.0,7,4,2,1.0,0.013,0.3073,0
30.63,30.63,18.0,0.52,1.32,0.334,0.663,5.5,5,6,4,1.0,0.1,0.2676,0
0.0,39.18,8.0,0.68,2.67,0.376,0.832,3.0,5,1,5,1.0,0.06,0.2224,0
46.73,61.0,4.0,0.71,3.0,0.043,0.619,5.0,2,2,5,5.0,0.06,0.359,1
5.92,41.43,30.0,0.59,1.41,0.183,0.473,7.0,4,4,6,1.0,0.06,0.2095,0
0.0,37.47,9.0,0.26,4.71,0.158,0.256,5.0,7,5,5,3.0,0.06,0.2556,0
0.0,8.99,6.0,0.26,3.27,0.268,0.447,5.0,6,4,3,1.0,0.013,0.191,0
0.0,24.89,286.0,12.23,2.03,0.2,0.5,7.5,4,5,6,1.0,0.06,0.1144,0
0.0,0.0,30.0,0.12,7.39,0.132,0.751,4.5,4,5,9,1.0,0.06,0.1745,0
10.09,60.52,15.0,0.48,8.46,0.263,0.509,6.5,6,4,10,1.0,0.06,0.3436,0
35.3,88.25,319.0,0.0,2.55,-0.036,0.058,7.0,6,6,1,1.0,0.06,0.3008,0
9.65,28.94,4.0,0.94,0.26,0.028,0.619,5.5,5,6,4,1.0,0.06,0.2137,1
10.77,75.37,15.0,0.37,0.84,0.227,0.184,2.5,6,7,5,2.0,0.06,0.3091,1
0.0,79.27,9.0,0.16,2.35,0.318,0.774,3.5,1,6,3,1.0,0.06,0.2436,0
11.45,37.56,10.0,0.58,0.05,0.242,0.676,7.0,5,2,6,1.0,0.06,0.2271,0
12.74,89.17,23.0,0.16,1.09,0.463,0.84,3.0,4,5,6,1.0,0.06,0.3136,0
0.0,0.0,66.0,3.01,2.06,0.445,0.573,4.5,6,1,8,1.0,0.06,0.1473,0
7.95,63.62,99.0,3.6,0.68,0.352,0.84,6.0,6,6,4,1.0,0.06,0.2297,0
35.54,35.54,18.0,0.52,0.86,0.367,0.785,5.0,3,2,4,2.0,0.06,0.2623,0
0.0,0.0,9.0,1.25,3.79,0.335,0.674,5.5,5,2,2,1.0,0.06,0.1714,0
24.19,108.87,34.0,0.48,0.72,0.413,0.812,7.0,5,3,7,1.0,0.013,0.393,0
36.76,73.52,0.0,0.23,1.15,0.045,0.619,7.5,3,5,4,1.0,0.06,0.3549,1
0.0,19.44,356.0,2.9,8.44,0.324,0.611,4.5,7,4,3,1.0,0.1,0.1596,0
10.42,62.53,10.0,0.12,1.66,0.321,0.487,5.5,7,6,4,1.0,0.06,0.3055,1
20.79,93.53,11.0,0.16,2.01,0.381,0.834,8.0,5,3,6,1.0,0.06,0.377,0
8.58,77.26,14.0,0.99,2.14,0.268,0.505,6.0,3,2,4,3.0,0.06,0.2807,0
5.56,44.51,164.0,1.19,0.61,0.266,0.798,3.0,5,5,4,6.0,0.06,0.1574,0
8.21,49.27,51.0,2.55,10.04,0.3,0.465,6.5,6,9,6,1.0,0.06,0.3053,0
0.0,15.37,4.0,0.26,3.03,0.294,0.597,7.0,6,6,6,1.0,0.06,0.1998,0
11.85,82.98,30.0,0.48,0.25,0.453,0.872,8.0,4,1,10,1.0,0.06,0.2875,0
0.0,29.67,41.0,0.33,2.73,0.374,0.615,7.0,6,3,5,1.0,0.013,0.2015,0
13.19,65.97,15.0,0.93,0.05,0.297,0.734,7.5,3,8,6,1.0,0.06,0.2551,0
0.0,47.12,25.0,0.49,4.69,0.325,0.244,6.5,3,8,2,1.0,0.06,0.2197,0
24.43,85.51,12.0,0.37,4.97,0.233,0.262,8.5,5,2,4,1.0,0.06,0.3981,0
29.29,87.86,0.0,0.12,7.62,0.257,0.257,4.0,6,8,5,1.0,0.06,0.4689,1
5.8,46.4,34.0,0.37,1.38,0.237,0.702,6.5,6,8,2,7.0,0.06,0.2357,0
10.52,105.16,12.0,0.71,2.12,0.254,0.456,3.0,4,4,6,1.0,0.1,0.3568,0
16.66,66.63,12.0,0.37,0.28,0.181,0.318,2.5,4,2,5,1.0,0.06,0.2807,0
12.3,49.19,7.0,0.74,2.96,0.085,0.269,4.0,5,6,7,1.0,0.06,0.273,1
23.31,104.89,22.0,0.12,1.84,0.424,0.869,5.0,6,8,7,2.0,0.06,0.4152,0
0.0,22.81,394.0,0.0,5.09,0.029,0.27,5.5,4,3,9,1.0,0.06,0.1253,0
10.94,38.3,5.0,0.23,6.63,0.196,0.527,7.5,3,10,4,1.0,0.013,0.2561,0
16.08,44.42,10.0,0.88,2.27,0.284,0.63,7.0,10,4,5,3.0,0.013,0.3296,0
15.58,27.28,26.0,0.23,2.13,0.392,0.545,8.0,2,3,3,1.0,0.06,0.1962,0
7.02,49.15,47.0,0.35,0.74,0.224,0.679,3.5,4,10,6,1.0,0.1,0.211,0
7.45,74.51,3.0,0.63,0.16,-0.02,0.619,7.0,3,3,3,1.0,0.06,0.2635,1
28.49,56.99,5.0,0.12,5.55,0.033,0.064,3.0,9,5,3,1.0,0.06,0.4155,1
0.0,0.0,5.0,0.23,0.74,0.232,0.27,3.5,6,2,8,1.0,0.06,0.1645,0
6.03,54.24,6.0,0.12,1.66,0.192,0.557,6.5,10,7,4,1.0,0.06,0.3176,0
8.09,24.26,253.0,2.4,1.19,0.163,0.621,2.5,10,2,10,1.0,0.06,0.1655,0
0.0,47.48,8.0,0.12,1.84,0.166,0.263,4.5,6,8,6,1.0,0.06,0.241,0
6.08,54.73,5.0,0.12,4.37,0.179,0.461,4.5,4,2,5,1.0,0.06,0.2673,1
8.04,80.37,2.0,0.37,0.69,0.149,0.514,6.0,2,3,4,1.0,0.06,0.2687,1
7.27,58.19,44.0,0.26,4.53,0.281,0.488,5.5,1,3,7,1.0,0.06,0.2226,0
0.0,49.92,1209.0,3.89,1.64,0.403,0.819,5.5,2,4,6,5.0,0.06,0.1247,0
7.93,23.78,29.0,1.72,2.22,0.124,0.679,3.5,8,5,3,4.0,0.06,0.2332,0
0.0,3.79,117.0,1.24,3.48,0.518,0.822,4.5,7,5,5,1.0,0.06,0.1472,0
12.51,75.06,7.0,0.16,2.65,0.37,0.769,5.5,7,7,6,1.0,0.013,0.348,0
9.14,36.57,319.0,0.12,12.58,0.053,0.227,5.0,7,6,4,1.0,0.06,0.2291,0
22.32,89.27,5.0,0.12,1.66,0.366,0.755,4.5,4,5,4,1.0,0.06,0.3594,0
26.59,106.37,18.0,0.49,0.8,0.455,0.853,4.0,8,4,3,1.0,0.06,0.4515,0
0.0,44.18,10.0,0.58,1.33,0.246,0.701,7.5,5,7,6,1.0,0.06,0.2202,0
49.58,148.74,19.0,0.59,0.5,0.253,0.618,7.0,3,6,7,4.0,0.06,0.5479,0
6.57,52.52,64.0,2.09,3.27,0.253,0.761,2.5,5,4,3,1.0,0.06,0.2344,0
38.05,38.05,8.0,0.12,11.14,0.154,0.319,4.5,7,4,6,1.0,0.06,0.4266,1
10.52,63.13,748.0,2.97,0.24,0.215,0.146,4.0,4,7,6,4.0,0.013,0.1651,0
7.95,31.79,0.0,1.4,1.04,0.108,0.678,6.0,7,8,5,2.0,0.06,0.2431,0
34.62,34.62,376.0,2.83,0.38,0.257,0.759,4.0,9,6,6,2.0,0.06,0.221,0
7.18,57.48,3.0,0.37,0.69,0.047,0.323,8.5,4,2,5,1.0,0.06,0.248,0
8.9,53.39,37.0,1.93,1.78,0.264,0.739,3.0,4,5,5,1.0,0.06,0.2345,0
22.04,66.13,3.0,0.35,0.34,-0.009,0.619,5.0,3,9,5,1.0,0.06,0.2882,0
9.54,95.42,25.0,0.26,4.4,0.268,0.544,5.0,7,10,4,1.0,0.06,0.3867,0
0.0,0.0,5.0,0.33,3.61,0.205,0.547,8.5,7,6,2,1.0,0.06,0.1899,1
7.94,71.43,22.0,0.52,0.85,0.186,0.296,9.5,5,8,2,1.0,0.06,0.277,1
8.0,56.0,35.0,3.33,9.36,0.298,0.757,6.5,5,4,6,1.0,0.06,0.3098,0
26.15,104.58,23.0,0.16,1.09,0.244,0.595,5.0,3,7,4,1.0,0.06,0.3727,0
0.0,80.53,0.0,0.0,1.04,0.003,0.64,3.0,9,5,3,1.0,0.06,0.3392,0
0.0,9.68,0.0,1.17,1.04,0.267,0.619,5.5,5,3,6,4.0,0.06,0.1725,0
7.87,62.99,5.0,0.58,1.01,0.317,0.22,5.5,7,6,3,1.0,0.06,0.297,1
14.4,43.2,11.0,0.26,0.86,0.188,0.53,6.5,3,4,3,1.0,0.1,0.2273,1
10.14,10.14,8.0,0.37,0.51,0.234,0.524,5.5,3,8,6,1.0,0.013,0.1689,0
0.0,0.0,5.0,0.37,3.31,0.094,0.619,4.5,3,5,8,1.0,0.06,0.1541,1
6.84,54.74,39.0,0.16,2.19,0.246,0.53,5.0,5,5,5,3.0,0.013,0.2447,0
0.0,21.64,75.0,5.13,2.24,0.408,0.813,6.5,1,1,5,1.0,0.06,0.1331,0
0.0,82.85,29.0,0.26,0.63,0.348,0.829,5.0,8,4,5,1.0,0.06,0.3082,0
10.44,73.05,23.0,0.33,0.62,0.248,0.496,2.5,6,8,4,1.0,0.06,0.2967,0
0.0,88.22,8.0,0.35,2.08,0.22,0.385,1.5,5,4,3,1.0,0.06,0.3063,0
0.0,13.4,86.0,6.17,1.85,0.38,0.827,3.0,3,7,7,1.0,0.1,0.1325,0
16.62,49.86,162.0,0.7,4.64,0.256,0.616,6.0,4,5,6,1.0,0.06,0.2021,0
4.61,36.86,14.0,0.59,0.03,0.185,0.686,5.5,4,2,6,1.0,0.1,0.1986,0
5.22,31.3,107.0,1.67,0.16,0.158,0.293,6.0,4,6,3,1.0,0.06,0.1528,0
14.29,50.01,1140.0,1.25,1.26,0.323,0.415,7.0,6,6,10,1.0,0.06,0.1777,0
11.26,78.82,92.0,1.16,1.74,0.364,0.745,5.0,5,2,3,1.0,0.013,0.2649,0
38.42,50.41,36.0,0.0,10.17,0.059,0.496,8.5,6,5,6,4.0,0.06,0.4113,1
9.05,72.41,79.0,1.07,5.38,0.253,0.777,6.0,4,4,9,1.0,0.06,0.2718,0
8.91,53.48,7.0,0.88,1.2,0.273,0.706,1.5,5,4,8,3.0,0.06,0.2583,1
8.78,87.79,11.0,0.74,5.01,0.234,0.41,5.5,3,8,4,11.0,0.06,0.3282,0
21.85,87.38,8.0,0.26,2.61,0.268,0.312,4.5,4,5,3,1.0,0.06,0.3606,1
0.0,28.72,23.0,0.26,3.26,0.338,0.45,3.0,3,5,4,1.0,0.06,0.1838,0
17.58,35.16,52.0,2.21,1.41,0.224,0.065,5.5,8,5,4,1.0,0.06,0.2579,0
8.77,87.72,14.0,0.68,4.66,0.26,0.489,4.5,5,8,6,22.0,0.06,0.3498,0
33.58,33.58,7.0,0.26,1.33,0.203,0.466,4.5,2,2,6,1.0,0.1,0.2522,1
9.75,77.98,44.0,0.12,8.62,0.217,0.688,6.5,3,6,4,1.0,0.06,0.321,0
21.96,87.82,0.0,0.0,8.16,0.057,0.619,7.0,8,6,1,1.0,0.06,0.4797,1
67.59,112.64,517.0,3.43,0.91,0.302,0.661,4.0,6,9,10,1.0,0.06,0.4376,0
0.0,70.9,319.0,0.0,4.02,-0.018,0.436,5.5,1,6,6,1.0,0.1,0.1522,0
22.05,34.69,12.0,0.81,0.67,0.411,0.606,7.0,4,5,4,1.0,0.06,0.2402,0
58.67,71.93,16.0,0.99,1.34,0.312,0.59,5.5,7,8,4,1.0,0.06,0.4698,0
0.0,0.0,5.0,0.42,3.48,0.28,0.564,3.0,3,2,3,1.0,0.06,0.155,0
38.17,49.33,191.0,3.77,0.91,0.309,0.827,5.5,2,10,7,1.0,0.06,0.1904,0
16.02,112.14,10.0,0.16,1.78,0.233,0.261,5.5,3,8,6,1.0,0.06,0.3732,1
18.8,75.22,10.0,0.73,0.91,0.288,0.618,5.0,4,2,7,1.0,0.06,0.3098,0
12.63,63.15,18.0,0.52,0.35,0.387,0.701,6.5,7,7,8,1.0,0.06,0.2969,0
0.0,22.94,94.0,3.74,1.63,0.479,0.84,5.0,3,8,2,1.0,0.1,0.1391,0
0.0,0.0,2.0,0.12,2.0,0.134,0.619,5.0,4,10,5,1.0,0.06,0.1563,1
0.0,29.04,438.0,2.56,0.83,0.252,0.661,5.0,3,4,8,1.0,0.06,0.1076,0
10.9,76.29,20.0,0.26,0.86,0.138,0.23,4.5,9,4,7,1.0,0.06,0.3479,1
0.0,22.32,13.0,0.26,4.76,0.46,0.646,5.5,2,3,5,1.0,0.06,0.1794,0
28.49,56.99,7.0,0.35,4.7,0.211,0.358,3.5,8,3,4,1.0,0.06,0.3914,1
15.6,39.61,9.0,0.49,1.25,0.089,0.305,6.5,4,3,6,1.0,0.06,0.2388,1
7.93,31.73,61.0,5.68,0.88,0.157,0.771,3.0,6,2,4,1.0,0.06,0.2001,0
18.97,66.39,8.0,0.35,0.34,0.14,0.492,6.0,3,8,3,1.0,0.06,0.2773,0
9.23,46.13,1295.0,2.72,0.33,0.281,0.723,6.0,10,6,3,2.0,0.06,0.1926,0
0.0,32.32,9.0,0.12,4.59,0.413,0.793,6.0,5,6,4,1.0,0.06,0.2241,0
12.26,44.84,4.0,0.12,3.52,0.21,0.619,6.5,3,4,6,1.0,0.06,0.248,1
0.0,80.2,300.0,4.02,1.15,0.164,0.679,1.0,5,5,4,1.0,0.06,0.1816,0
0.0,0.0,6.0,1.36,4.63,0.134,0.514,4.0,9,7,3,1.0,0.06,0.2154,0
46.32,46.32,11.0,0.12,2.69,0.195,0.289,6.0,6,4,6,1.0,0.06,0.3739,1
12.62,88.32,24.0,0.33,6.62,0.242,0.26,4.0,10,5,6,1.0,0.06,0.4466,0
7.87,62.99,25.0,0.16,1.65,0.313,0.634,4.0,5,6,5,1.0,0.06,0.2658,0
46.54,66.45,3.0,0.33,0.8,0.094,0.165,3.0,6,3,2,1.0,0.06,0.407,1
0.0,37.56,7.0,0.16,3.32,0.349,0.656,5.0,5,5,3,1.0,0.06,0.2248,0
0.0,25.73,319.0,0.12,8.34,0.063,0.685,4.5,2,4,6,4.0,0.06,0.1294,0
0.0,46.96,89.0,0.12,1.66,0.427,0.806,6.0,5,5,6,1.0,0.06,0.1881,0
7.0,41.98,71.0,1.77,3.23,0.21,0.637,4.5,6,3,3,1.0,0.06,0.2247,0
7.27,58.19,39.0,1.17,0.14,0.248,0.554,3.5,5,7,6,1.0,0.06,0.2366,0
13.37,66.87,3.0,0.52,0.34,0.08,0.619,4.0,4,2,5,1.0,0.06,0.2783,1
12.4,86.77,24.0,0.52,1.99,0.304,0.309,3.5,3,2,5,3.0,0.1,0.3021,1
0.0,49.91,10.0,0.94,0.04,0.303,0.583,5.0,5,3,6,1.0,0.06,0.2205,0
8.39,75.52,37.0,2.59,0.88,0.393,0.813,3.0,5,6,2,1.0,0.06,0.2771,0
8.34,75.03,11.0,0.12,4.85,0.337,0.202,4.0,5,5,3,1.0,0.06,0.3257,1
0.0,35.39,7.0,0.42,2.17,0.236,0.375,2.5,6,6,2,1.0,0.06,0.2238,0
21.36,85.43,0.0,0.52,1.04,-0.016,0.098,3.5,8,4,7,1.0,0.06,0.4022,0
12.2,48.8,170.0,1.75,4.46,0.232,0.701,6.0,2,3,5,4.0,0.06,0.1689,0
17.98,71.91,5.0,0.0,5.95,0.311,0.664,9.0,6,4,10,1.0,0.06,0.3761,0
8.53,76.76,42.0,2.25,0.22,0.358,0.458,3.5,3,3,5,4.0,0.1,0.2484,0
0.0,52.69,253.0,2.39,3.94,0.318,0.844,6.0,5,10,10,1.0,0.06,0.161,0
0.0,0.0,12.0,0.66,3.19,0.336,0.62,4.0,2,3,4,1.0,0.06,0.1433,0
12.62,88.32,40.0,0.35,4.54,0.245,0.286,6.5,6,3,2,1.0,0.06,0.3576,1
20.63,20.63,11.0,0.37,0.84,0.239,0.511,1.5,3,3,9,1.0,0.06,0.2056,0
8.4,25.2,111.0,1.58,3.65,0.241,0.711,7.0,7,8,4,1.0,0.06,0.1947,0
0.0,57.93,182.0,2.63,0.43,0.257,0.827,5.0,7,5,4,4.0,0.06,0.1725,0
0.0,52.45,24.0,0.59,0.62,0.106,0.374,5.5,5,4,2,2.0,0.06,0.2214,0
0.0,39.09,957.0,1.07,3.34,0.247,0.47,5.0,3,4,4,1.0,0.013,0.1277,0
7.81,78.08,9.0,0.26,1.19,0.25,0.491,5.5,9,1,7,1.0,0.06,0.3529,1
11.05,66.3,15.0,0.42,0.38,0.414,0.822,3.5,5,7,5,2.0,0.06,0.2761,0
13.08,91.56,21.0,0.59,6.45,0.241,0.756,3.0,2,6,1,5.0,0.013,0.3416,0
13.6,68.01,21.0,0.26,2.86,0.39,0.72,3.5,8,5,6,1.0,0.06,0.3424,0
12.72,89.02,17.0,0.0,3.89,0.266,0.354,5.5,10,10,6,2.0,0.06,0.4268,1
0.0,24.94,101.0,0.68,3.78,0.214,0.526,4.5,4,6,5,4.0,0.06,0.1572,0
12.0,84.01,18.0,0.16,2.27,0.197,0.297,4.0,9,1,8,3.0,0.06,0.3825,1
9.67,87.04,41.0,1.15,3.56,0.224,0.695,3.5,6,3,3,1.0,0.06,0.3364,0
